metric_category,scope,explanation_type,explainer,metric,n_features,value,time
stability,local,feature_importance,LimeExplainer,ChangeSeedMetric,100,0.9998153724624939,0.9334721565246582
consistency,local,feature_importance,LimeExplainer,SensitivityMetric,100,0.9996553634577622,0.9359521865844727
completeness,local,feature_importance,LimeExplainer,FaithfulnessCorrelationMetric,100,0.942726448121071,4.091007471084595
parsimony,local,feature_importance,LimeExplainer,ComplexityMetric,100,0.08815932652741998,0.45929622650146484
stability,local,feature_importance,ShapExplainer,ChangeSeedMetric,100,0.9997131553997,0.51633620262146
consistency,local,feature_importance,ShapExplainer,SensitivityMetric,100,0.9998910547479166,0.33976054191589355
completeness,local,feature_importance,ShapExplainer,FaithfulnessCorrelationMetric,100,-0.0971841387756405,2.26423978805542
parsimony,local,feature_importance,ShapExplainer,ComplexityMetric,100,0.014584814556251602,0.17409563064575195
soundness,any,feature_importance,RandomFeatureImportanceExplainer,FidelityMetric,100,0.50504373867129,0.09374427795410156
stability,any,feature_importance,RandomFeatureImportanceExplainer,ChangeSeedMetric,100,0.46115687228642877,0.0
consistency,any,feature_importance,RandomFeatureImportanceExplainer,SensitivityMetric,100,0.7336019127700715,61.24359893798828
completeness,any,feature_importance,RandomFeatureImportanceExplainer,FaithfulnessCorrelationMetric,100,0.10466569625698607,0.015376567840576172
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ComplexityMetric,100,0.028189314870025184,0.0
soundness,any,rule_based,RandomRuleExplainer,FidelityMetric,100,0.50504373867129,0.09473490715026855
parsimony,any,rule_based,RandomRuleExplainer,NumberRulesMetric,100,100.0,0.0
stability,any,rule_based,RandomRuleExplainer,ChangeSeedMetric,100,0.0,0.0004961490631103516
contextfulness,any,rule_based,RandomRuleExplainer,RuleCoverageMetric,100,0.9672,0.7246565818786621
contextfulness,any,rule_based,RandomRuleExplainer,RuleOverlapMetric,100,0.08511911111111112,18.50724697113037
consistency,any,rule_based,RandomRuleExplainer,SensitivityMetric,100,0.0,60.99163055419922
soundness,global,rule_based,SurrogateDecisionTreeExplainer,FidelityMetric,100,0.7895455965021861,0.25345611572265625
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,NumberRulesMetric,100,20.0,0.22865629196166992
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,AvgRuleLengthMetric,100,8.333333333333334,0.22915196418762207
stability,global,rule_based,SurrogateDecisionTreeExplainer,ChangeSeedMetric,100,1.0,0.23015785217285156
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleCoverageMetric,100,0.29458,2.2493457794189453
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleOverlapMetric,100,0.0,20.415359497070312
consistency,global,rule_based,SurrogateDecisionTreeExplainer,SensitivityMetric,100,1.0,61.277326822280884
soundness,global,feature_importance,SurrogateLogisticRegressionExplainer,FidelityMetric,100,0.9984184320999707,0.10763216018676758
stability,global,feature_importance,SurrogateLogisticRegressionExplainer,ChangeSeedMetric,100,1.0,0.09374403953552246
consistency,global,feature_importance,SurrogateLogisticRegressionExplainer,SensitivityMetric,100,1.0,61.375534772872925
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ComplexityMetric,100,0.02614621673860751,0.09027218818664551
soundness,global,feature_importance,SurrogateMultinomialNBExplainer,FidelityMetric,100,0.9000117449007556,0.03124833106994629
stability,global,feature_importance,SurrogateMultinomialNBExplainer,ChangeSeedMetric,100,1.0,0.00793600082397461
consistency,global,feature_importance,SurrogateMultinomialNBExplainer,SensitivityMetric,100,1.0,61.35172653198242
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ComplexityMetric,100,9.210165769968359e-05,0.007440090179443359
