metric_category,scope,explanation_type,explainer,metric,n_features,value,time
parsimony,global,feature_importance,SageExplainer,ComplexityMetric,10,0.18893919453632235,5.18318510055542
consistency,global,feature_importance,SageExplainer,SensitivityMetric,10,1.0,75.13981175422668
stability,global,feature_importance,SageExplainer,ChangeSeedMetric,10,1.0,5.18318510055542
parsimony,global,feature_importance,SageExplainer,ExecutionTimeMetric,10,3.362572503089905,38.809406042099
soundness,global,rule_based,C45Explainer,FidelityMetric,10,0.889228767821669,60.970621824264526
parsimony,global,rule_based,C45Explainer,NumberRulesMetric,10,295.0,58.93801999092102
contextfulness,global,rule_based,C45Explainer,RuleCoverageMetric,10,0.2529,60.66459059715271
contextfulness,global,rule_based,C45Explainer,RuleOverlapMetric,10,0.0,66.65030097961426
consistency,global,rule_based,C45Explainer,SensitivityMetric,10,1.0,113.45718789100647
stability,global,rule_based,C45Explainer,ChangeSeedMetric,10,1.0,59.0724356174469
parsimony,global,rule_based,C45Explainer,ExecutionTimeMetric,10,62.25426530838013,121.07175755500793
soundness,global,rule_based,ID3Explainer,FidelityMetric,10,0.889228767821669,64.56264424324036
parsimony,global,rule_based,ID3Explainer,NumberRulesMetric,10,295.0,62.4804413318634
contextfulness,global,rule_based,ID3Explainer,RuleCoverageMetric,10,0.2529,64.16435670852661
contextfulness,global,rule_based,ID3Explainer,RuleOverlapMetric,10,0.0,70.78048086166382
consistency,global,rule_based,ID3Explainer,SensitivityMetric,10,1.0,117.1052577495575
stability,global,rule_based,ID3Explainer,ChangeSeedMetric,10,1.0,62.6009681224823
parsimony,global,rule_based,ID3Explainer,ExecutionTimeMetric,10,62.383721351623535,124.72627544403076
soundness,global,rule_based,CHAIDExplainer,FidelityMetric,10,0.889228767821669,64.92373013496399
parsimony,global,rule_based,CHAIDExplainer,NumberRulesMetric,10,295.0,62.79143142700195
contextfulness,global,rule_based,CHAIDExplainer,RuleCoverageMetric,10,0.2529,64.63704228401184
contextfulness,global,rule_based,CHAIDExplainer,RuleOverlapMetric,10,0.0,71.39006280899048
consistency,global,rule_based,CHAIDExplainer,SensitivityMetric,10,1.0,119.65270471572876
stability,global,rule_based,CHAIDExplainer,ChangeSeedMetric,10,1.0,62.91939878463745
parsimony,global,rule_based,CHAIDExplainer,ExecutionTimeMetric,10,62.762168645858765,125.40777707099915
parsimony,local,feature_importance,QIIExplainer,ComplexityMetric,10,0.023873843067749534,25.596004247665405
completeness,local,feature_importance,QIIExplainer,FaithfulnessCorrelationMetric,10,,129.5806107521057
consistency,local,feature_importance,QIIExplainer,SensitivityMetric,10,0.9881777777777778,52.49301362037659
stability,local,feature_importance,QIIExplainer,ChangeSeedMetric,10,0.9986722222222223,51.531769037246704
parsimony,local,feature_importance,QIIExplainer,ExecutionTimeMetric,10,26.451701617240907,264.5189995765686
